Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Deep brain stimulation for psychiatric disorders and behavioral/cognitive-related indications: Review of the literature and implications for treatment,Mahoney J.J.; Koch-Gallup N.; Scarisbrick D.M.; Berry J.H.; Rezai A.R. ,"While pharmacological and/or behavioral treatments are effective in managing symptoms for many patients with psychiatric diagnoses and disorders with behavioral/cognitive manifestations, a subset of individuals are treatment-refractory, unable to achieve appreciable benefit or symptom relief from traditional methods. In recent years, neuromodulation has gained momentum as an adjunctive treatment for improving outcomes in patients who are treatment-refractory. One form of neuromodulation, deep brain stimulation (DBS), has been investigated for the treatment of various psychiatric disorders and behavioral/cognitive symptoms. The following article provides a review of DBS investigations for several psychiatric and behavioral-related disorders, including depression, obsessive-compulsive disorder, substance use disorder, Alzheimer's disease, anorexia, obesity, schizophrenia, and posttraumatic stress disorder. PubMed, PsycINFO, Scopus, Ovid MEDLINE, and Web of Science were used to identify published articles, and Clinicaltrials.gov was used to identify currently ongoing or planned studies. Findings revealed the potential utility of DBS in improving outcomes for various psychiatric and behavioral/cognitive-related disorders. While promising, there are several limitations present in the available literature, and further well-designed clinical trials are necessary before conclusive decisions regarding the utility of DBS for the treatment of these psychiatric/behavioral/cognitive-related disorders can be made. Regardless, the studies included in this review demonstrate positive preliminary findings for the potential benefit of DBS for treatment of a variety of psychiatric disorders, and further research is warranted to better determine the potential utility of DBS for those who are treatment-refractory and unable to achieve symptom relief with standard care.Copyright © 2022 Elsevier B.V.",2022,/,Journal of the Neurological Sciences,437,"(Mahoney, Scarisbrick, Berry) WVU Department of Behavioral Medicine and Psychiatry, West Virginia University School of Medicine, Rockefeller Neuroscience Institute, Morgantown, WV 26505, United States(Mahoney, Koch-Gallup, Scarisbrick, Berry) WVU Departme",120253,,https://dx.doi.org/10.1016/j.jns.2022.120253,2017764785,#921,Mahoney 2022,"",anorexia; non_specific; obesity; rev
Neurosurgery and neuromodulation for anorexia nervosa in the 21st century: a systematic review of treatment outcomes,Murray S.B.; Strober M.; Tadayonnejad R.; Bari A.A.; Feusner J.D. ,"As current psychosocial and pharmacological interventions show limited efficacy in the treatment of anorexia nervosa (AN), interest in the potential value of neurosurgical intervention and neuromodulation in managing severe and enduring illness has grown. We conducted a systematic review of 20 trials of neurosurgical and neuromodulatory treatments for AN, including neurosurgical ablation, deep brain stimulation (DBS), repetitive transcranial magnetic stimulation (rTMS), and transcranial direct current stimulation (tDCS). Overall, there is evidence to support the role of stereotactic ablation and DBS in the treatment of AN. In contrast, results for rTMS and tDCS have been modest and generally more mixed. Neurosurgical treatment may offer important new avenues for the treatment of AN. Additional randomized clinical trials with comparable patient populations will be needed, in which change in affective, cognitive, and perceptual symptom phenomena, and interrogation of targeted circuits, pre- and post-intervention, are carefully documented.Copyright © 2020 Taylor & Francis.",2022,/,Eating Disorders,30,1,26-53,,https://dx.doi.org/10.1080/10640266.2020.1790270,2006828472,#922,Murray 2022,"",anorexia; non_specific; rev
Responsive deep brain stimulation and obesity: Commentary on a developing technology,Kusyk D.M.; Whiting D. ,,2022,/,Obesity,30,2,297,,https://dx.doi.org/10.1002/oby.23351,2014856144,#937,Kusyk 2022,"",obesity; rev
Deep brain stimulation of the ventral anterior limb of the capsula interna in patients with treatment-refractory anorexia nervosa,Oudijn M.S.; Mocking R.J.T.; Wijnker R.R.; Lok A.; Schuurman P.R.; van den Munckhof P.; van Elburg A.A.; Denys D.A.P.J. ,,2021,/,Brain Stimulation,14,6,1528-1530,,https://dx.doi.org/10.1016/j.brs.2021.10.387,2015211128,#944,Oudijn 2021,"",anorexia
Long-term follow-up of deep brain stimulation for anorexia nervosa,De Vloo P.; Lam E.; Elias G.J.B.; Boutet A.; Sutandar K.; Giacobbe P.; Woodside D.B.; Lipsman N.; Lozano A. ,,2021,/,"Journal of Neurology, Neurosurgery and Psychiatry",92,10,1135-1136,,https://dx.doi.org/10.1136/jnnp-2020-325711,634450016,#955,DeVloo 2021,"",anorexia
Probabilistic Mapping of Deep Brain Stimulation: Insights from 15 Years of Therapy,Elias G.J.B.; Boutet A.; Joel S.E.; Germann J.; Gwun D.; Neudorfer C.; Gramer R.M.; Algarni M.; Paramanandam V.; Prasad S.; Beyn M.E.; Horn A.; Madhavan R.; Ranjan M.; Lozano C.S.; Kuhn A.A.; Ashe J.; Kucharczyk W.; Munhoz R.P.; Giacobbe P.; Kennedy S.H.; Woodside D.B.; Kalia S.K.; Fasano A.; Hodaie M.; Lozano A.M. ,"Deep brain stimulation (DBS) depends on precise delivery of electrical current to target tissues. However, the specific brain structures responsible for best outcome are still debated. We applied probabilistic stimulation mapping to a retrospective, multidisorder DBS dataset assembled over 15 years at our institution (ntotal = 482 patients; nParkinson disease = 303; ndystonia = 64; ntremor = 39; ntreatment-resistant depression/anorexia nervosa = 76) to identify the neuroanatomical substrates of optimal clinical response. Using high-resolution structural magnetic resonance imaging and activation volume modeling, probabilistic stimulation maps (PSMs) that delineated areas of above-mean and below-mean response for each patient cohort were generated and defined in terms of their relationships with surrounding anatomical structures. Our results show that overlap between PSMs and individual patients' activation volumes can serve as a guide to predict clinical outcomes, but that this is not the sole determinant of response. In the future, individualized models that incorporate advancements in mapping techniques with patient-specific clinical variables will likely contribute to the optimization of DBS target selection and improved outcomes for patients. ANN NEUROL 2021;89:426-443.Copyright © 2020 American Neurological Association",2021,/,Annals of Neurology,89,3,426-443,,https://dx.doi.org/10.1002/ana.25975,2007636255,#975,Elias 2021,"",anorexia; non_outcome; non_specific
"A randomized trial of deep brain stimulation to the subcallosal cingulate and nucleus accumbens in patients with treatment-refractory, chronic, and severe anorexia nervosa: Initial results at 6 months of follow up",Martinez G.V.; Justicia A.; Salgado P.; Gines J.M.; Guardiola R.; Cedron C.; Polo M.; Delgado-Martinez I.; Medrano S.; Manero R.M.; Conesa G.; Faus G.; Grau A.; Elices M.; Perez V. ,"Background: The main objective of this study was to assess the safety and efficacy of deep brain stimulation (DBS) in patients with severe anorexia nervosa (AN). Method(s): Eight participants received active DBS to the subcallosal cingulate (SCC) or nucleus accumbens (NAcc) depending on comorbidities (affective or anxiety disorders, respectively) and type of AN. The primary outcome measure was body mass index (BMI). Result(s): Overall, we found no significant difference (p = 0.84) between mean preoperative and postoperative (month 6) BMI. A BMI reference value (BMI-RV) was calculated. In patients that received preoperative inpatient care to raise the BMI, the BMI-RV was defined as the mean BMI value in the 12 months prior to surgery. In patients that did not require inpatient care, the BMI-RV was defined as the mean BMI in the 3-month period before surgery. This value was compared to the postoperative BMI (month 6), revealing a significant increase (p = 0.02). After 6 months of DBS, five participants showed an increase of >=10% in the BMI-RV. Quality of life was improved (p = 0.03). Three cases presented cutaneous complications. Conclusion(s): DBS may be effective for some patients with severe AN. Cutaneous complications were observed. Longer term data are needed.Copyright © 2020 by the authors; licensee MDPI, Basel, Switzerland.",2020,/,Journal of Clinical Medicine,9,6,1-16,,https://dx.doi.org/10.3390/jcm9061946,2004617835,#978,Martinez 2020,"",anorexia
Impressive weight gain after deep brain stimulation of nucleus accumbens in treatment-resistant bulimic anorexia nervosa,Arroteia I.F.; Husch A.; Baniasadi M.; Hertel F. ,"Anorexia nervosa (AN) severely impacts individual's mental and physical health as well as quality of life. In 21% of cases no durable response to conservative treatment can be obtained. The serious course of the disease in the most severely affected patients justifies invasive treatment options. One of the treatment methods increasingly used in recent years is deep brain stimulation (DBS). A 42-year-old woman suffering from chronic AN of the bulimic subtype shows a 46.9% weight gain and a subjective increase in quality of life, 12 months after bilateral nucleus accumbens (NAcc) DBS implantation. No improvement in comorbid depression could be achieved. DBS of the NAcc is a treatment option to be considered in severe AN when conventional treatment modalities recommended by evidence-based guidelines have not been able to bring lasting relief to the patient's suffering.Copyright © 2020 BMJ Publishing Group Limited 2020. No commercial re-use. See rights and permissions. Publishedby BMJ.",2020,/,BMJ Case Reports,13,11,239316,,https://dx.doi.org/10.1136/bcr-2020-239316,633578925,#987,Arroteia 2020,"",anorexia
Deep brain stimulation of the nucleus accumbens for treatment-refractory anorexia nervosa: A long-term follow-up study,Liu W.; Zhan S.; Li D.; Lin Z.; Zhang C.; Wang T.; Pan S.; Zhang J.; Cao C.; Jin H.; Li Y.; Sun B. ,"Background: Given that anorexia nervosa (AN) is a life-threatening mental disorder and has poor clinical outcomes, novel effective treatments are warranted, especially for severe and persistent cases. Objective(s): To investigate the safety, feasibility, and clinical outcomes of using deep brain stimulation (DBS) of the nucleus accumbens (NAcc) in treatment-refractory AN patients. Method(s): A total of 28 women with refractory AN underwent NAcc-DBS and completed this 2-year follow-up study. The clinical outcomes, including body mass index (BMI) and mood, anxiety, and obsessive symptoms, were assessed using a series of psychiatric scales at 6 and 24 months post operation. Result(s): While no fatalities were reported during this study, 1 patient showed device rejection. The most common short-term side effect observed was varying degrees of pain at the incision sites (n = 22), which usually disappeared 3-4 days following the operation. No severe surgical adverse events were observed. Compared to presurgical levels, significant increases in BMI and improvement in psychiatric scale scores were noted during the 6-month follow-up and were maintained at the 2-year review. Finally, a post-hoc analysis revealed that the NAcc-DBS was less effective for weight restoration in patients with the binge-eating/purge subtype of AN than in those with the restricting subtype (R-AN). Conclusion(s): Our long-term follow-up study suggests that NAcc-DBS is safe and effective for improving the BMI and psychiatric symptoms of patients with refractory AN. Although NAcc-DBS appears to be more suitable for patients with R-AN, strict inclusion criteria must be applied considering surgery-related complications.Copyright © 2020 The Author(s)",2020,/,Brain Stimulation,13,3,643-649,,https://dx.doi.org/10.1016/j.brs.2020.02.004,2004917943,#990,Liu 2020,"",anorexia
Changes in eating behavior after deep brain stimulation for anorexia nervosa. A case study,Manuelli M.; Franzini A.; Galentino R.; Bidone R.; Dell'Osso B.; Porta M.; Servello D.; Cena H. ,"Purpose: The purpose of this study was to evaluate changes in the nutritional status, body image concerns, and eating behaviors occurring in a patient who underwent deep brain stimulation (DBS) of the bed nucleus of the stria terminalis for treatment-refractory anorexia nervosa (AN). Method(s): Bilateral DBS of the bed nucleus of the stria terminalis was performed in a 37-year-old woman affected by refractory AN. Pre- and post-surgical evaluations were conducted via an array of validated testing instruments, which took into account the weight variations, body image concerns, eating behavior, quality of life, and nutritional status. Result(s): Overall, eating behavior-, body image concern-, and nutritional status-related testing instruments demonstrated improvements starting from the first post-operative month. Normal body weight was restored after 4 months of stimulation. Discussion(s): Only a few cases of DBS for AN have been conducted to determine the efficacy of surgery based upon weight variation and psychometric scales for anxiety and affective disorders. In contrast, we have designed a comprehensive approach taking into account the most important aspects of this disease. This approach should be considered in future studies dealing with the neurosurgical treatment of AN.Copyright © 2019, Springer Nature Switzerland AG.",2020,/,Eating and Weight Disorders,25,5,1481-1486,,https://dx.doi.org/10.1007/s40519-019-00742-4,2002265775,#992,Manuelli 2020,"",anorexia; case_report
Deep brain stimulation: New possibilities for the treatment of mental disorders,Beszlej J.A.; Wieczorek T.; Kobylko A.; Piotrowski P.; Siwicki D.; Weiser A.; Fila-Witecka K.; Rymaszewska J.; Tabakow P. ,"Deep brain stimulation (DBS) is a treatment method that is currently getting more and more attention from psychiatrists. It has proven to be efficacious and safe in the treatment of neurological disorders, mainly Parkinson's disease (PD), dystonia and essential tremor. DBS has very often contributed to successful treatment in cases that had proved resistant to all other methods of treatment. Nowadays treatment-resistant obsessive-compulsive disorder (OCD) is the main psychiatric indication for DBS. Many studies have focused on assessing the efficacy and safety of this method in different mental disorders, including depressive disorders, Alzheimer's disease, anorexia nervosa, Tourette syndrome, substance addiction or aggressive behaviors. Single cases of successful treatment in bipolar disorder, schizophrenia and post traumatic stress disorder have also emerged in recent years. In this review the current state of knowledge on the applicability of DBS in psychiatry is presented, based on the available systematic reviews, clinical trials and case studies, as well as on neurophysiological and neuroimaging data.Copyright © 2019 Polish Psychiatric Association. All rights reserved.",2019,/,Psychiatria Polska,53,4,789-806,,https://dx.doi.org/10.12740/PP/OnlineFirst/103090,2003800548,#1005,Beszlej 2019,"",anorexia; non_specific; rev
Deep Brain Stimulation of the Hypothalamus Leads to Increased Metabolic Rate in Refractory Obesity,Whiting A.C.; Sutton E.F.; Walker C.T.; Godzik J.; Catapano J.S.; Oh M.Y.; Tomycz N.D.; Ravussin E.; Whiting D.M. ,"Objective: Obesity has become a worldwide epidemic, with very few long-term successful treatment options for refractory disease. Deep brain stimulation (DBS) of the bilateral lateral hypothalamus (LH) in refractory obesity has been performed safely. However, questions remain regarding the optimal settings and its effects on metabolic rate. The goals of our experiment were to determine the optimal DBS settings and the actual effect of optimal stimulation on energy expenditure. Method(s): After bilateral LH DBS implantation, 2 subjects with treatment refractory obesity underwent 4 days of metabolic testing. The subjects slept overnight in a respiratory chamber to measure their baseline sleep energy expenditure, followed by 4 consecutive days of resting metabolic rate (RMR) testing at different stimulation settings. On day 4, the optimized DBS settings were used, and sleep energy expenditure was measured again overnight in the room calorimeter. Result(s): During daily testing, the RMR fluctuated acutely with changes in stimulation settings and returned to baseline immediately after turning off the stimulation. Optimal stimulation settings selected for participants showed a 20% and 16% increase in RMR for the 2 participants. Overnight sleep energy expenditure measurements at these optimized settings on day 4 yielded a 10.4% and 4.8% increase over the baseline measurements for the 2 participants. Conclusion(s): These findings have demonstrated the efficacy of optimized DBS of the LH on increasing the RMR acutely and maintaining this increase during overnight sleep. These promising preliminary findings have laid the groundwork for the possible treatment of refractory obesity with DBS.Copyright © 2018 Elsevier Inc.",2019,/,World Neurosurgery,121,"(Whiting, Walker, Godzik, Catapano) Department of Neurosurgery, Barrow Neurological Institute, Phoenix, AZ, United States(Sutton, Ravussin) Division of Clinical Science, Pennington Biomedical Research Center, Baton Rouge, LA, United States(Oh, Tomycz, Whi",e867-e874,,https://dx.doi.org/10.1016/j.wneu.2018.10.002,2001251968,#1017,Whiting 2019,"",obesity
An Open-Label Clinical Trial of Hypothalamic Deep Brain Stimulation for Human Morbid Obesity: BLESS Study Protocol,De Salles A.A.F.; Barbosa D.A.N.; Fernandes F.; Abucham J.; Nazato D.M.; Oliveira J.D.; Cury A.; Biasi A.; Rossi R.; Lasagno C.; Bueno P.T.; Santos R.H.N.; Damiani L.P.; Gorgulho A.A. ,"BACKGROUND: Human morbid obesity is increasing worldwide in an alarming way. The hypothalamus is known to mediate its mechanisms. Deep brain stimulation (DBS) of the ventromedial hypothalamus (VMH) may be an alternative to treat patients refractory to standard medical and surgical therapies. OBJECTIVE(S): To assess the safety, identify possible side effects, and to optimize stimulation parameters of continuous VMH-DBS. Additionally, this study aims to determine if continuous VMH-DBS will lead to weight loss by causing changes in body composition, basal metabolism, or food intake control. METHOD(S): The BLESS study is a feasibility study, single-center open-label trial. Six patients (body mass index > 40) will undergo low-frequency VMH-DBS. Data concerning timing, duration, frequency, severity, causal relationships, and associated electrical stimulation patterns regarding side effects or weight changes will be recorded. EXPECTED OUTCOMES: We expect to demonstrate the safety, identify possible side effects, and to optimize electrophysiological parameters related to VMH-DBS. No clinical or behavioral adverse changes are expected. Weight loss >= 3% of the basal weight after 3 mo of electrical stimulation will be considered adequate. Changes in body composition and increase in basal metabolism are expected. The amount of food intake is likely to remain unchanged. DISCUSSION: The design of this study protocol is to define the safety of the procedure, the surgical parameters important for target localization, and additionally the safety of long-term stimulation of the VMH in morbidly obese patients. Novel neurosurgical approaches to treat metabolic and autonomic diseases can be developed based on the data made available by this investigation.",2018,/,Neurosurgery,83,4,800-809,,https://dx.doi.org/10.1093/neuros/nyy024,628645662,#1019,DeSalles 2018,"",obesity
Invasive and non-invasive stimulation of the obese human brain,Pleger B. ,"Accumulating evidence suggests that non-invasive and invasive brain stimulation may reduce food craving and calorie consumption rendering these techniques potential treatment options for obesity. Non-invasive transcranial direct current stimulation (tDCS) or repetitive transcranial magnet stimulation (rTMS) are used to modulate activity in superficially located executive control regions, such as the dorsolateral prefrontal cortex (DLPFC). Modulation of the DLPFC's activity may alter executive functioning and food reward processing in interconnected dopamine-rich regions such as the striatum or orbitofrontal cortex. Modulation of reward processing can also be achieved by invasive deep brain stimulation (DBS) targeting the nucleus accumbens. Another target for DBS is the lateral hypothalamic area potentially leading to improved energy expenditure. To date, available evidence is, however, restricted to few exceptional cases of morbid obesity. The vagal nerve plays a crucial role in signaling the homeostatic demand to the brain. Invasive or non-invasive vagal nerve stimulation (VNS) is thus assumed to reduce appetite, rendering VNS another possible treatment option for obesity. Based on currently available evidence, the U.S. Food and Drug Administration recently approved VNS for the treatment of obesity. This review summarizes scientific evidence regarding these techniques' efficacy in modulating food craving and calorie intake. It is time for large controlled clinical trials that are necessary to translate currently available research discoveries into patient care.Copyright © 2007 - 2018 Frontiers Media S.A.",2018,/,Frontiers in Neuroscience,12,NOV,884,,https://dx.doi.org/10.3389/fnins.2018.00884,625303438,#1022,Pleger 2018,"",non_specific; obesity; rev
Assessment of Safety and Outcome of Lateral Hypothalamic Deep Brain Stimulation for Obesity in a Small Series of Patients With Prader-Willi Syndrome,Franco R.R.; Fonoff E.T.; Alvarenga P.G.; Alho E.J.L.; Lopes A.C.; Hoexter M.Q.; Batistuzzo M.C.; Paiva R.R.; Taub A.; Shavitt R.G.; Miguel E.C.; Teixeira M.J.; Damiani D.; Hamani C. ,"Importance: Deep brain stimulation (DBS) has been investigated for treatment of morbid obesity with variable results. Patients with Prader-Willi syndrome (PWS) present with obesity that is often difficult to treat. Objective(s): To test the safety and study the outcome of DBS in patients with PWS. Design, Setting, and Participant(s): This case series was conducted in the Hospital das Clinicas, University of Sao Paulo, Brazil. Four patients with genetically confirmed PWS presenting with severe obesity were included. Exposure: Deep brain stimulation electrodes were bilaterally implanted in the lateral hypothalamic area. After DBS implantation, the treatment included the following phases: titration (1-2 months), stimulation off (2 months), low-frequency DBS (40 Hz; 1 month), washout (15 days), high-frequency DBS (130 Hz; 1 month), and long-term follow-up (6 months). Main Outcomes and Measures: Primary outcome measures were adverse events recorded during stimulation and long-term DBS treatment. Secondary outcomes consisted of changes in anthropometric measures (weight, body mass index [calculated as weight in kilograms divided by height in meters squared], and abdominal and neck circumference), bioimpedanciometry, and calorimetry after 6 months of treatment compared with baseline. The following evaluations and measurements were conducted before and after DBS: clinical, neurological, psychiatric, neuropsychological, anthropometry, calorimetry, blood workup, hormonal levels, and sleep studies. Adverse effects were monitored during all follow-up visits. Result(s): Four patients with PWS were included (2 male and 2 female; ages 18-28 years). Baseline mean (SD) body mass index was 39.6 (11.1). Two patients had previous bariatric surgery, and all presented with psychiatric comorbidity, which was well controlled with the use of medications. At 6 months after long-term DBS, patients had a mean 9.6% increase in weight, 5.8% increase in body mass index, 8.4% increase in abdominal circumference, 4.2% increase in neck circumference, 5.3% increase in the percentage of body fat, and 0% change in calorimetry compared with baseline. Also unchanged were hormonal levels and results of blood workup, sleep studies, and neuropsychological evaluations. Two patients developed stimulation-induced manic symptoms. Discontinuation of DBS controlled this symptom in 1 patient. The other required adjustments in medication dosage. Two infections were documented, 1 associated with skin picking. Conclusions and Relevance: Safety of lateral hypothalamic area stimulation was in the range of that demonstrated in patients with similar psychiatric conditions receiving DBS. In the small cohort of patients with PWS treated in our study, DBS was largely ineffective.",2018,/,JAMA network open,1,7,e185275,,https://dx.doi.org/10.1001/jamanetworkopen.2018.5275,629380379,#1023,Franco 2018,"",obesity
Deep brain stimulation of the subcallosal cingulate for treatment-refractory anorexia nervosa: 1 year follow-up of an open-label trial,Lipsman N.; Lam E.; Volpini M.; Sutandar K.; Twose R.; Giacobbe P.; Sodums D.J.; Smith G.S.; Woodside D.B.; Lozano A.M. ,"Background Anorexia nervosa is a life-threatening illness. Brain circuits believed to drive anorexia nervosa symptoms can be accessed with surgical techniques such as deep brain stimulation (DBS). Initial results suggest that DBS of the subcallosal cingulate is safe and associated with improvements in mood and anxiety. Here, we investigated the safety, clinical, and neuroimaging outcomes of DBS of the subcallosal cingulate in a group of patients during 12 months of active stimulation. Methods We did this prospective open-label trial at the Department of Surgery of the University of Toronto (Toronto, ON, Canada). Patients were eligible to participate if they were aged 20-60 years and had a diagnosis of anorexia nervosa (restricting or binge-purging subtype) and a demonstrated history of chronicity or treatment resistance. Following a period of medical stabilisation, patients underwent surgery for DBS and received open-label continuous stimulation for the entire 1 year study duration. The primary outcome was safety and acceptability of the procedure. The secondary outcomes were body-mass index (BMI), mood, anxiety, affective regulation, and anorexia nervosa-specific behaviours at 12 months after surgery, as well as changes in neural circuitry (measured with PET imaging of cerebral glucose metabolism at baseline and at 6 and 12 months after surgery). This trial was registered with ClinicalTrials.gov, number NCT01476540. Findings 16 patients with treatment-refractory anorexia nervosa were enrolled between September, 2011, and January, 2014, and underwent DBS of the subcallosal cingulate between November, 2011, and April, 2014. Patients had a mean age of 34 years (SD 8) and average illness duration of 18 years (SD 6). Two patients requested that their devices be removed or deactivated during the study, although their reasons for doing so were poorly defined. The most common adverse event was pain related to surgical incision or positioning that required oral analgesics for longer than 3-4 days after surgery (five [31%] of 16 patients). Seven (44%) of 16 patients had serious adverse events, most of which were related to the underlying illness, including electrolyte disturbances. Average BMI at surgery was 13.83 (SD 1.49) and 14 (88%) of the 16 patients had comorbid mood disorders, anxiety disorders, or both. Mean BMI after 12 months of stimulation was 17.34 (SD 3.40; p=0.0009 vs baseline). DBS was associated with significant improvements in measures of depression (mean Hamilton Depression Rating Scale scores 19.40 [SD 6.76] at baseline vs 8.79 [7.64] at 12 months; p=0.00015), anxiety (mean Beck Anxiety Inventory score 38.00 [15.55] vs 27.14 [18.39]; p=0.035), and affective regulation (mean Dysfunction in Emotional Regulation Scale score 131.80 [22.04] vs 104.36 [31.27]; p=0.019). We detected significant changes in cerebral glucose metabolism in key anorexia nervosa-related structures at both 6 months and 12 months of ongoing brain stimulation. Interpretation In patients with chronic treatment-refractory anorexia nervosa, DBS is well tolerated and is associated with significant and sustained improvements in affective symptoms, BMI, and changes in neural circuitry at 12 months after surgery. Funding Klarman Family Foundation Grants Program in Eating Disorders Research and Canadian Institutes of Health Research.Copyright © 2017 Elsevier Ltd",2017,/,The Lancet Psychiatry,4,4,285-294,,https://dx.doi.org/10.1016/S2215-0366%2817%2930076-7,614566504,#1045,Lipsman 2017,"",anorexia
Lateral hypothalamic activity indicates hunger and satiety states in humans,Talakoub O.; Paiva R.R.; Milosevic M.; Hoexter M.Q.; Franco R.; Alho E.; Navarro J.; Pereira J.F.; Popovic M.R.; Savage C.; Lopes A.C.; Alvarenga P.; Damiani D.; Teixeira M.J.; Miguel E.C.; Fonoff E.T.; Batistuzzo M.C.; Hamani C. ,"Lateral hypothalamic area (LHA) local field potentials (LFPs) were recorded in a Prader-Willi patient undergoing deep brain stimulation (DBS) for obesity. During hunger, exposure to food-related cues induced an increase in beta/low-gamma activity. In contrast, recordings during satiety were marked by prominent alpha rhythms. Based on these findings, we have delivered alpha-frequency DBS prior to and during food intake. Despite reporting an early sensation of fullness, the patient continued to crave food. This suggests that the pattern of activity in LHA may indicate hunger/satiety states in humans but attest to the complexity of conducting neuromodulation studies in obesity.Copyright © 2017 The Authors. Annals of Clinical and Translational Neurology published by Wiley Periodicals, Inc on behalf of American Neurological Association.",2017,/,Annals of Clinical and Translational Neurology,4,12,897-901,,https://dx.doi.org/10.1002/acn3.466,618845223,#1056,Talakoub 2017,"",case_report; non_outcome; obesity
Neuroimaging and neuromodulation approaches to study eating behavior and prevent and treat eating disorders and obesity,Val-Laillet D.; Aarts E.; Weber B.; Ferrari M.; Quaresima V.; Stoeckel L.E.; Alonso-Alonso M.; Audette M.; Malbert C.H.; Stice E. ,"Functional, molecular and genetic neuroimaging has highlighted the existence of brain anomalies and neural vulnerability factors related to obesity and eating disorders such as binge eating or anorexia nervosa. In particular, decreased basal metabolism in the prefrontal cortex and striatum as well as dopaminergic alterations have been described in obese subjects, in parallel with increased activation of reward brain areas in response to palatable food cues. Elevated reward region responsivity may trigger food craving and predict future weight gain. This opens the way to prevention studies using functional and molecular neuroimaging to perform early diagnostics and to phenotype subjects at risk by exploring different neurobehavioral dimensions of the food choices and motivation processes. In the first part of this review, advantages and limitations of neuroimaging techniques, such as functional magnetic resonance imaging (fMRI), positron emission tomography (PET), single photon emission computed tomography (SPECT), pharmacogenetic fMRI and functional near-infrared spectroscopy (fNIRS) will be discussed in the context of recent work dealing with eating behavior, with a particular focus on obesity. In the second part of the review, non-invasive strategies to modulate food-related brain processes and functions will be presented. At the leading edge of non-invasive brain-based technologies is real-time fMRI (rtfMRI) neurofeedback, which is a powerful tool to better understand the complexity of human brain-behavior relationships. rtfMRI, alone or when combined with other techniques and tools such as EEG and cognitive therapy, could be used to alter neural plasticity and learned behavior to optimize and/or restore healthy cognition and eating behavior. Other promising non-invasive neuromodulation approaches being explored are repetitive transcranial magnetic stimulation (rTMS) and transcranial direct-current stimulation (tDCS). Converging evidence points at the value of these non-invasive neuromodulation strategies to study basic mechanisms underlying eating behavior and to treat its disorders. Both of these approaches will be compared in light of recent work in this field, while addressing technical and practical questions. The third part of this review will be dedicated to invasive neuromodulation strategies, such as vagus nerve stimulation (VNS) and deep brain stimulation (DBS). In combination with neuroimaging approaches, these techniques are promising experimental tools to unravel the intricate relationships between homeostatic and hedonic brain circuits. Their potential as additional therapeutic tools to combat pharmacorefractory morbid obesity or acute eating disorders will be discussed, in terms of technical challenges, applicability and ethics. In a general discussion, we will put the brain at the core of fundamental research, prevention and therapy in the context of obesity and eating disorders. First, we will discuss the possibility to identify new biological markers of brain functions. Second, we will highlight the potential of neuroimaging and neuromodulation in individualized medicine. Third, we will introduce the ethical questions that are concomitant to the emergence of new neuromodulation therapies.Copyright © 2015 The Authors. Published by Elsevier Inc.",2015,/,NeuroImage: Clinical,8,"(Val-Laillet) INRA, UR1341 ADNC F-35650, France(Aarts) Radboud University, Donders Institute for Brain, Cognition and Behaviour, Nijmegen, Netherlands(Weber) Department of Epileptology, University Hospital Bonn, Germany(Ferrari, Quaresima) Department of L",1-31,,https://dx.doi.org/10.1016/j.nicl.2015.03.016,603502334,#1090,Val-Laillet 2015,"",anorexia; non_specific; obesity; rev
The change in cerebral glucose metabolism after electroacupuncture: A possible marker to predict the therapeutic effect of deep brain stimulation for refractory anorexia nervosa,Liu T.-T.; Hong Q.-X.; Xiang H.-B. ,"Some reports have demonstrated that deep brain stimulation (DBS) is a promising treatment for patients who suffer from intractable anorexia nervosa. However, the nature of DBS may not be viewed as a standard clinical treatment option for anorexia nervosa because of the unpredictable outcome before DBS. Just like DBS in the brain, electroacupuncture at acupoints is also efficient in treating refractory anorexia nervosa. Some neuroimaging stud-ies using functional magnetic resonance imaging, single-photon emission computed tomography (SPECT), and posi-tron emission tomography (PET) had revealed that both DBS and electroacupuncture at acupoints with electrical stimulation are related to the changes in cerebral glucose metabolism. Therefore, we hypothesize that the changes in cerebral glucose metabolism after electroacupuncture might be useful to predict the therapeutic effect of deep brain stimulation for refractory anorexia nervosa.Copyright © 2015, E-Century Publishing Corporation. All Rights Reserved.",2015,/,International Journal of Clinical and Experimental Medicine,8,10,19481-19485,,,607201250,#1101,Liu 2015,"",anorexia; rev
Obesity and deep brain stimulation: An overview,Kumar R.; Simpson C.V.; Froelich C.A.; Baughman B.C.; Gienapp A.J.; Sillay K.A. ,"Deep brain stimulation (DBS) has been employed to treat a variety of disorders such as Parkinson disease, dystonia, and essential tremor. Newer indications such as epilepsy and obsessive-compulsive disorder have been added to the armamentarium. In this review, we present an initial summary of current methods in the management of obesity and then explore efforts in neuromodulation and DBS as a novel modality in the treatment of obesity disorders.Copyright © 2015, Annals of Neurosciences. All Rights Reserved.",2015,/,Annals of Neurosciences,22,3,181-188,,https://dx.doi.org/10.5214/ans.0972.7531.220310,604236708,#1102,Kumar 2015,"",obesity; rev
